T_K	P_MPa	Density_kg_m3	Enthalpy_kJ_kg	Entropy_kJ_kgK	Cp_kJ_kgK	Cv_kJ_kgK	Cp_over_Cv	k_mW_mK	Viscosity_uPa_s	Pr
220.00	0.0100	1605.2982	134.52848	0.733416	1.2461585	0.94612268	1.3171215	82.420887	1522.023	23.012151
220.00	0.0200	1605.3154	134.53261	0.73340646	1.2461512	0.94612647	1.3171085	82.42354	1522.2298	23.014403
220.00	0.0300	1605.3326	134.53674	0.73339692	1.2461439	0.94613025	1.3170955	82.426194	1522.4366	23.016654
220.00	0.0400	1605.3498	134.54087	0.73338738	1.2461367	0.94613404	1.3170826	82.428847	1522.6434	23.018905
220.00	0.0500	1605.367	134.545	0.73337785	1.2461294	0.94613783	1.3170696	82.4315	1522.8503	23.021157
220.00	0.0600	1605.3842	134.54913	0.73336831	1.2461221	0.94614162	1.3170567	82.434153	1523.0571	23.023409
220.00	0.0700	1605.4014	134.55326	0.73335877	1.2461148	0.94614541	1.3170437	82.436805	1523.264	23.02566
220.00	0.0800	1605.4185	134.55739	0.73334924	1.2461076	0.9461492	1.3170307	82.439457	1523.4708	23.027912
220.00	0.0900	1605.4357	134.56152	0.7333397	1.2461003	0.94615299	1.3170178	82.442109	1523.6777	23.030164
220.00	0.1000	1605.4529	134.56565	0.73333017	1.2460931	0.94615678	1.3170048	82.44476	1523.8846	23.032416
220.00	0.1100	1605.4701	134.56978	0.73332064	1.2460858	0.94616057	1.3169919	82.447412	1524.0915	23.034668
220.00	0.1200	1605.4873	134.57392	0.7333111	1.2460785	0.94616437	1.3169789	82.450062	1524.2984	23.036921
220.00	0.1300	1605.5044	134.57805	0.73330157	1.2460713	0.94616816	1.316966	82.452713	1524.5053	23.039173
220.00	0.1400	1605.5216	134.58218	0.73329204	1.246064	0.94617195	1.3169531	82.455363	1524.7123	23.041426
220.00	0.1500	1605.5388	134.58631	0.73328251	1.2460568	0.94617574	1.3169401	82.458014	1524.9192	23.043678
220.00	0.1600	1605.556	134.59044	0.73327298	1.2460496	0.94617953	1.3169272	82.460663	1525.1261	23.045931
220.00	0.1700	1605.5731	134.59458	0.73326346	1.2460423	0.94618332	1.3169143	82.463313	1525.3331	23.048184
220.00	0.1800	1605.5903	134.59871	0.73325393	1.2460351	0.94618712	1.3169013	82.465962	1525.5401	23.050437
220.00	0.1900	1605.6075	134.60284	0.7332444	1.2460278	0.94619091	1.3168884	82.468611	1525.7471	23.05269
220.00	0.2000	1605.6246	134.60697	0.73323488	1.2460206	0.9461947	1.3168755	82.47126	1525.9541	23.054943
220.00	0.2100	1605.6418	134.61111	0.73322536	1.2460134	0.9461985	1.3168626	82.473908	1526.1611	23.057196
220.00	0.2200	1605.6589	134.61524	0.73321583	1.2460061	0.94620229	1.3168496	82.476556	1526.3681	23.05945
