P_MPa	T_K	Liq_Density_kg_m3	Vap_Density_kg_m3	Liq_h_kJ_kg	Vap_h_kJ_kg	Liq_s_kJ_kgK	Vap_s_kJ_kgK	Liq_Cp_kJ_kgK	Vap_Cp_kJ_kgK	Liq_Cv_kJ_kgK	Vap_Cv_kJ_kgK	Liq_Cp_over_Cv	Vap_Cp_over_Cv	Liq_k_mW_mK	Vap_k_mW_mK	Liq_Visc_uPa_s	Vap_Visc_uPa_s	Liq_Pr	Vap_Pr
0.0100	256.532496	1514.2572	0.94913106	179.58609	333.91111	0.92293148	1.5245123	1.2270712	0.85462738	0.93970572	0.80956405	1.3058037	1.0556637	74.203027	8.2400413	776.13474	9.3931198	12.834686	0.97422053
0.0200	269.442224	1481.1681	1.8208689	195.43915	344.56141	0.98319851	1.5366465	1.2290508	0.87597015	0.94358601	0.82871752	1.3025319	1.057019	71.334618	9.3179098	634.77759	9.8582806	10.936821	0.92677003
0.0300	277.794145	1459.3821	2.6659828	205.72095	351.48597	1.0207535	1.5454766	1.2325353	0.89131625	0.94749547	0.84221525	1.3008351	1.0582998	69.507411	10.02708	561.51721	10.159027	9.9570647	0.90304513
0.0400	284.128776	1442.6237	3.4951608	213.54338	356.75356	1.0485716	1.5526042	1.236301	0.90374701	0.95111567	0.8529834	1.299843	1.059513	68.144656	10.570602	513.376	10.388577	9.3138229	0.88818458
0.0500	289.298063	1428.7799	4.3134158	219.9469	361.06075	1.070882	1.5586622	1.2400817	0.91438845	0.95445307	0.86208237	1.2992589	1.0606741	67.046679	11.017586	478.10043	10.577893	8.8428478	0.87789678
0.0600	293.699476	1416.8617	5.123668	225.41614	364.73342	1.0896207	1.5639739	1.2437988	0.92379742	0.95754657	0.87003365	1.2989433	1.061795	66.122274	11.400587	450.56032	10.741287	8.4753038	0.87037387
0.0700	297.552846	1406.3207	5.9278278	230.21884	367.95217	1.1058428	1.5687297	1.2474284	0.9322961	0.96043311	0.87713761	1.2988186	1.0628847	65.321269	11.737737	428.14473	10.886598	8.176202	0.86469248
0.0800	300.993382	1396.819	6.7272418	234.51958	370.82828	1.1201897	1.5730524	1.2509659	0.94009007	0.96314313	0.88358522	1.2988369	1.0639495	64.612866	12.040251	409.35353	11.018603	7.9254693	0.86032092
0.0900	304.110567	1388.1323	7.5229094	238.4272	373.4355	1.1330815	1.5770263	1.2544138	0.94731969	0.96570116	0.88950653	1.2989668	1.0649946	63.976723	12.315585	393.24973	11.140434	7.7105836	0.85692663
0.1000	306.966902	1380.1038	8.3156015	242.0177	375.8254	1.1448093	1.580712	1.2577773	0.95408569	0.96812697	0.89499457	1.2991863	1.066024	63.398662	12.568967	379.21119	11.254256	7.5232381	0.85428854
