T_K	P_MPa	Liq_D_kg_m3	Vap_D_kg_m3	Liq_h_kJ_kg	Vap_h_kJ_kg	Liq_s_kJ_kgK	Vap_s_kJ_kgK	Liq_Cp	Vap_Cp	Liq_Cv	Vap_Cv	Liq_CpCv	Vap_CpCv	Liq_k_mW_mK	Vap_k_mW_mK	Liq_vis_uPa_s	Vap_vis_uPa_s	Liq_Pr	Vap_Pr
220.00	0.000787	1605.2823	0.08625314	134.52467	304.20495	0.73342479	1.5046988	1.2461652	0.80966429	0.94611919	0.76756619	1.3171334	1.0548462	82.418442	5.3450293	1521.8325	8.0561987	23.010078	1.2203519
220.50	0.000821	1604.0528	0.089766352	135.14763	304.60666	0.73625313	1.5047748	1.2456256	0.81013457	0.94582802	0.76801877	1.3169684	1.0548369	82.307033	5.3827558	1505.8362	8.0746505	22.789159	1.2152796
221.00	0.000856	1602.8231	0.093400613	135.77033	305.0085	0.73907384	1.5048575	1.2450947	0.8106086	0.94554328	0.76847466	1.3168035	1.054828	82.195549	5.4205424	1490.075	8.093101	22.571593	1.2102732
221.50	0.000893	1601.593	0.097159258	136.39276	305.41049	0.74188699	1.5049467	1.2445724	0.81108639	0.94526491	0.76893386	1.3166387	1.0548195	82.083991	5.458389	1474.5447	8.11155	22.357315	1.2053314
222.00	0.000930	1600.3627	0.10104569	137.01493	305.81262	0.74469262	1.5050426	1.2440588	0.81156796	0.94499289	0.76939636	1.3164742	1.0548113	81.972361	5.4962951	1459.2408	8.1299974	22.146261	1.2004533
222.50	0.000969	1599.1322	0.10506338	137.63685	306.2149	0.7474908	1.5051449	1.2435537	0.81205333	0.94472716	0.76986219	1.3163098	1.0548035	81.860662	5.5342604	1444.1592	8.148443	21.93837	1.1956377
223.00	0.001010	1597.9013	0.10921587	138.25852	306.61731	0.75028157	1.5052537	1.2430571	0.8125425	0.94446769	0.77033134	1.3161457	1.0547961	81.748895	5.5722847	1429.2958	8.1668866	21.733581	1.1908836
223.50	0.001052	1596.6701	0.11350675	138.87994	307.01987	0.75306499	1.5053689	1.2425689	0.81303549	0.94421444	0.77080382	1.3159817	1.0547891	81.637064	5.6103674	1414.6466	8.1853283	21.531835	1.1861901
224.00	0.001095	1595.4386	0.11793969	139.50112	307.42256	0.7558411	1.5054904	1.2420891	0.81353231	0.94396736	0.77127963	1.3158179	1.0547826	81.525169	5.6485084	1400.2075	8.2037677	21.333075	1.1815562
224.50	0.001140	1594.2068	0.12251845	140.12207	307.8254	0.75860996	1.5056181	1.2416177	0.81403297	0.94372642	0.77175879	1.3156543	1.0547764	81.413214	5.6867073	1385.9748	8.2222047	21.137242	1.1769809
225.00	0.001187	1592.9747	0.12724681	140.74278	308.22838	0.76137162	1.5057521	1.2411546	0.8145375	0.94349158	0.77224129	1.3154909	1.0547707	81.3012	5.7249638	1371.9446	8.2406393	20.944283	1.1724633
225.50	0.001235	1591.7423	0.13212867	141.36326	308.6315	0.76412612	1.5058921	1.2406997	0.81504589	0.9432628	0.77272714	1.3153277	1.0547654	81.18913	5.7632775	1358.1133	8.2590712	20.754143	1.1680024
